id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres
14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,2014,121.0,"Action,Adventure,Comedy"
15,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi"
16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,tt1843866,Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014,136.0,"Action,Adventure,Sci-Fi"
17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,tt2103281,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014,130.0,"Action,Adventure,Drama"
19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,tt1735898,Snow White and the Huntsman,Snow White and the Huntsman,2012,127.0,"Action,Adventure,Drama"
22,2019-03-29,Dumbo,170000000.0,113883318.0,345004422.0,tt3861390,Dumbo,Dumbo,2019,112.0,"Adventure,Family,Fantasy"
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,tt1964418,Tomorrowland,Tomorrowland,2015,130.0,"Action,Adventure,Family"
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,tt7728220,Tomorrowland,Tomorrowland,2017,70.0,Documentary
24,2019-02-14,Alita: Battle Angel,170000000.0,85710210.0,402976036.0,tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi"
25,2019-05-31,Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,tt3741700,Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019,132.0,"Action,Adventure,Fantasy"
26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,tt2567026,Alice Through the Looking Glass,Alice Through the Looking Glass,2016,113.0,"Adventure,Family,Fantasy"
27,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy"
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,tt1211837,Doctor Strange,Doctor Strange,2016,115.0,"Action,Adventure,Fantasy"
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,tt2245084,Big Hero 6,Big Hero 6,2014,102.0,"Action,Adventure,Animation"
30,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation"
31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,tt1772341,Wreck-It Ralph,Wreck-It Ralph,2012,101.0,"Adventure,Animation,Comedy"
32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,tt0816692,Interstellar,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi"
33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,tt1628841,Independence Day: Resurgence,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi"
35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,tt2771200,Beauty and the Beast,Beauty and the Beast,2017,129.0,"Family,Fantasy,Musical"
35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,tt9173998,Beauty and the Beast,Beauty and the Beast,2018,60.0,"Family,Fantasy,Musical"
86,1991-11-13,Beauty and the Beast,20000000.0,376057266.0,608431132.0,tt2771200,Beauty and the Beast,Beauty and the Beast,2017,129.0,"Family,Fantasy,Musical"
86,1991-11-13,Beauty and the Beast,20000000.0,376057266.0,608431132.0,tt9173998,Beauty and the Beast,Beauty and the Beast,2018,60.0,"Family,Fantasy,Musical"
36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,tt1477834,Aquaman,Aquaman,2018,143.0,"Action,Adventure,Fantasy"
38,2010-07-16,Inception,160000000.0,292576195.0,835524642.0,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi"
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,tt1951266,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015,137.0,"Action,Adventure,Sci-Fi"
41,2014-05-16,Godzilla,160000000.0,200676069.0,529076069.0,tt0831387,Godzilla,Godzilla,2014,123.0,"Action,Adventure,Sci-Fi"
74,1998-05-19,Godzilla,125000000.0,136314294.0,376000000.0,tt0831387,Godzilla,Godzilla,2014,123.0,"Action,Adventure,Sci-Fi"
44,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family"
46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,tt0803096,Warcraft,Warcraft,2016,123.0,"Action,Adventure,Fantasy"
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,tt1860357,Deepwater Horizon,Deepwater Horizon,2016,107.0,"Action,Drama,History"
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy"
50,2018-03-23,Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,tt2557478,Pacific Rim: Uprising,Pacific Rim: Uprising,2018,111.0,"Action,Adventure,Sci-Fi"
52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,2017,140.0,"Action,Adventure,Drama"
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy"
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,tt4028068,Wonder Woman,Wonder Woman,2014,60.0,Sci-Fi
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,tt4283448,Wonder Woman,Wonder Woman,2016,75.0,"Documentary,Drama,Sport"
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,tt1323045,Frozen,Frozen,2010,93.0,"Adventure,Drama,Sport"
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,tt2294629,Frozen,Frozen,2013,102.0,"Adventure,Animation,Comedy"
57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,tt2948356,Zootopia,Zootopia,2016,108.0,"Adventure,Animation,Comedy"
62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,tt3521164,Moana,Moana,2016,107.0,"Adventure,Animation,Comedy"
66,2013-11-08,Thor: The Dark World,150000000.0,206362140.0,644602516.0,tt1981115,Thor: The Dark World,Thor: The Dark World,2013,112.0,"Action,Adventure,Fantasy"
69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,tt5013056,Dunkirk,Dunkirk,2017,106.0,"Action,Drama,History"
70,2011-05-06,Thor,150000000.0,181030624.0,449326618.0,tt0800369,Thor,Thor,2011,115.0,"Action,Adventure,Fantasy"
74,2011-05-26,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,tt1302011,Kung Fu Panda 2,Kung Fu Panda 2,2011,90.0,"Action,Adventure,Animation"
75,2015-05-15,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,2015,120.0,"Action,Adventure,Sci-Fi"
78,2018-03-29,Ready Player One,150000000.0,137690172.0,579290136.0,tt1677720,Ready Player One,Ready Player One,2018,140.0,"Action,Adventure,Sci-Fi"
83,2010-07-01,The Last Airbender,150000000.0,131772187.0,319713881.0,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family"
87,2012-03-30,Wrath of the Titans,150000000.0,83670083.0,305270083.0,tt1646987,Wrath of the Titans,Wrath of the Titans,2012,99.0,"Action,Adventure,Fantasy"
88,2007-11-16,Beowulf,150000000.0,82280579.0,195080579.0,tt7694546,Beowulf,Beowulf,2018,80.0,"Action,Drama,Fantasy"
89,2012-05-11,Dark Shadows,150000000.0,79727149.0,238202668.0,tt1077368,Dark Shadows,Dark Shadows,2012,113.0,"Comedy,Fantasy,Horror"
90,2013-06-28,White House Down,150000000.0,73103784.0,205440387.0,tt2334879,White House Down,White House Down,2013,131.0,"Action,Drama,Thriller"
91,2010-02-12,The Wolfman,150000000.0,62189884.0,142634358.0,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror"
92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,tt2034800,The Great Wall,The Great Wall,2016,103.0,"Action,Adventure,Fantasy"
