tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
276907,tt3569230,Legend,Legend,Legend,132.0,"Biography,Crime,Drama","[80, 53]",7.0,138947,2015-11-20,2015-11-20,6.8,1692,10.195,1872994,25000000,42425450
246655,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,X-Men: Apocalypse,144.0,"Action,Adventure,Sci-Fi","[28, 12, 878, 14]",7.0,356556,2016-05-27,2016-05-27,6.5,8348,39.293,155442489,178000000,542537546
343611,tt3393786,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,118.0,"Action,Thriller","[28, 53]",6.1,121892,2016-10-21,2016-10-21,5.6,2831,17.085,58697076,60000000,159946489
273481,tt3397884,Sicario,Sicario,Sicario,121.0,"Action,Crime,Drama","[28, 80, 53]",7.6,328548,2015-09-18,2015-09-18,7.3,4475,20.468,46889293,30000000,84393749
345922,tt3401882,Fist Fight,Fist Fight,Fist Fight,91.0,Comedy,[35],5.6,35136,2017-02-17,2017-02-17,6.0,708,9.808,32187017,25000000,40286416
392044,tt3402236,Murder on the Orient Express,Murder on the Orient Express,Murder on the Orient Express,114.0,"Crime,Drama,Mystery","[80, 18, 9648]",6.5,178603,2017-11-10,2017-11-10,6.7,5406,15.937000000000001,102826543,55000000,345922730
378518,tt3406296,Chemical Cut,Chemical Cut,Chemical Cut,83.0,Drama,"[35, 18]",5.4,111,2016-12-31,2016-01-24,10.0,1,0.639,0,1000000,0
364689,tt3411444,Ferdinand,Ferdinand,Ferdinand,108.0,"Adventure,Animation,Comedy","[16, 10751, 12, 35]",6.7,40229,2017-12-15,2017-12-15,7.1,1425,19.479,84410380,111000000,289847930
258230,tt3416532,A Monster Calls,A Monster Calls,A Monster Calls,108.0,"Animation,Drama,Fantasy","[18, 14]",7.5,70416,2017-01-06,2016-12-23,7.1,1918,11.128,3740823,43000000,46414530
278154,tt3416828,Ice Age: Collision Course,Ice Age: Collision Course,Ice Age: Collision Course,94.0,"Adventure,Animation,Comedy","[12, 16, 10751, 35]",5.7,48932,2016-07-22,2016-07-22,5.9,2430,18.233,64063008,105000000,402156682
